X,CH1,
Second,Volt,
2.18e-03,-6.32e-01,
2.18e-03,-6.08e-01,
2.18e-03,-5.92e-01,
2.19e-03,-5.84e-01,
2.19e-03,-5.68e-01,
2.20e-03,-5.44e-01,
2.20e-03,-5.20e-01,
2.20e-03,-4.80e-01,
2.21e-03,-4.16e-01,
2.21e-03,-3.60e-01,
2.22e-03,-2.88e-01,
2.22e-03,-2.64e-01,
2.22e-03,-2.48e-01,
2.23e-03,-2.40e-01,
2.23e-03,-2.40e-01,
2.24e-03,-2.40e-01,
2.24e-03,-2.48e-01,
2.24e-03,-2.48e-01,
2.25e-03,-2.48e-01,
2.25e-03,-2.40e-01,
2.26e-03,-2.40e-01,
2.26e-03,-2.24e-01,
2.26e-03,-2.24e-01,
2.27e-03,-2.24e-01,
2.27e-03,-2.32e-01,
2.28e-03,-2.32e-01,
2.28e-03,-2.24e-01,
2.28e-03,-2.08e-01,
2.29e-03,-1.84e-01,
2.29e-03,-1.60e-01,
2.30e-03,-1.36e-01,
2.30e-03,-1.12e-01,
2.30e-03,-8.79e-02,
2.31e-03,-7.20e-02,
2.31e-03,-5.60e-02,
2.32e-03,-5.60e-02,
2.32e-03,-4.80e-02,
2.32e-03,-3.20e-02,
2.33e-03,-1.60e-02,
2.33e-03,8.00e-03,
2.34e-03,5.60e-02,
2.34e-03,9.60e-02,
2.34e-03,1.28e-01,
2.35e-03,1.68e-01,
2.35e-03,1.92e-01,
2.36e-03,2.16e-01,
2.36e-03,2.32e-01,
2.36e-03,2.48e-01,
2.37e-03,2.48e-01,
2.37e-03,2.48e-01,
2.38e-03,2.48e-01,
2.38e-03,2.56e-01,
2.38e-03,2.64e-01,
2.39e-03,2.56e-01,
2.39e-03,2.56e-01,
2.40e-03,2.56e-01,
2.40e-03,2.56e-01,
2.40e-03,2.48e-01,
2.41e-03,2.48e-01,
2.41e-03,2.56e-01,
2.42e-03,2.48e-01,
2.42e-03,2.56e-01,
2.42e-03,2.48e-01,
2.43e-03,2.48e-01,
2.43e-03,2.48e-01,
2.44e-03,2.48e-01,
2.44e-03,2.48e-01,
2.44e-03,2.48e-01,
2.45e-03,2.48e-01,
2.45e-03,2.48e-01,
2.46e-03,2.48e-01,
2.46e-03,2.48e-01,
2.46e-03,2.56e-01,
2.47e-03,2.48e-01,
