X,CH1,
Second,Volt,
6.14e-03,4.80e-02,
6.16e-03,5.60e-02,
6.18e-03,3.20e-02,
6.20e-03,3.20e-02,
6.22e-03,2.40e-02,
6.24e-03,2.40e-02,
6.26e-03,0.00e+00,
6.28e-03,0.00e+00,
6.30e-03,-2.40e-02,
6.32e-03,-2.40e-02,
6.34e-03,-7.99e-02,
6.36e-03,-8.79e-02,
6.38e-03,-1.04e-01,
6.40e-03,-9.60e-02,
6.42e-03,-8.79e-02,
6.44e-03,-8.79e-02,
6.46e-03,-7.99e-02,
6.48e-03,-7.99e-02,
6.50e-03,-7.20e-02,
6.52e-03,-7.20e-02,
6.54e-03,-3.20e-02,
6.56e-03,-2.40e-02,
6.58e-03,1.60e-02,
6.60e-03,2.40e-02,
6.62e-03,4.80e-02,
6.64e-03,5.60e-02,
6.66e-03,4.00e-02,
6.68e-03,4.00e-02,
6.70e-03,3.20e-02,
6.72e-03,4.00e-02,
6.74e-03,5.60e-02,
6.76e-03,5.60e-02,
6.78e-03,6.40e-02,
6.80e-03,6.40e-02,
6.82e-03,4.80e-02,
6.84e-03,4.80e-02,
6.86e-03,2.40e-02,
6.88e-03,1.60e-02,
6.90e-03,1.60e-02,
6.92e-03,2.40e-02,
6.94e-03,3.20e-02,
6.96e-03,3.20e-02,
6.98e-03,2.40e-02,
7.00e-03,2.40e-02,
7.02e-03,8.00e-03,
7.04e-03,0.00e+00,
7.06e-03,-8.00e-03,
7.08e-03,-1.60e-02,
7.10e-03,-8.00e-03,
7.12e-03,-1.60e-02,
7.14e-03,-1.60e-02,
7.16e-03,-1.60e-02,
7.18e-03,-2.40e-02,
7.20e-03,-2.40e-02,
7.22e-03,-1.60e-02,
7.24e-03,-1.60e-02,
7.26e-03,-8.00e-03,
7.28e-03,0.00e+00,
7.30e-03,-8.00e-03,
7.32e-03,0.00e+00,
7.34e-03,-8.00e-03,
7.36e-03,-8.00e-03,
7.38e-03,-1.60e-02,
7.40e-03,-1.60e-02,
7.42e-03,-3.20e-02,
7.44e-03,-3.20e-02,
