X;CH1;CH2;Math;0,76;
Second;Volt;Volt;Volt;;
232;-4,00E-02;1,16E+00;-1,20E+00;0,76;
234;-7,99E-02;1,16E+00;-1,24E+00;0,76;
236;-4,00E-02;1,20E+00;-1,24E+00;0,76;
238;-7,99E-02;1,16E+00;-1,24E+00;0,76;
240;-4,00E-02;1,16E+00;-1,20E+00;0,76;
242;-7,99E-02;1,16E+00;-1,24E+00;0,76;
244;-7,99E-02;1,16E+00;-1,24E+00;0,76;
246;-4,00E-02;1,20E+00;-1,24E+00;0,76;
248;-4,00E-02;1,16E+00;-1,20E+00;0,76;
250;-7,99E-02;1,20E+00;-1,28E+00;0,76;
252;-4,00E-02;1,16E+00;-1,20E+00;0,76;
254;-7,99E-02;1,20E+00;-1,28E+00;0,76;
256;-7,99E-02;1,20E+00;-1,28E+00;0,76;
258;-4,00E-02;1,16E+00;-1,20E+00;0,76;
260;-4,00E-02;1,16E+00;-1,20E+00;0,76;
262;-7,99E-02;1,20E+00;-1,28E+00;0,76;
264;-7,99E-02;1,16E+00;-1,24E+00;0,76;
266;-4,00E-02;1,20E+00;-1,24E+00;0,76;
268;-7,99E-02;1,20E+00;-1,28E+00;0,76;
270;-4,00E-02;1,16E+00;-1,20E+00;0,76;
272;-4,00E-02;1,20E+00;-1,24E+00;0,76;
274;-7,99E-02;1,16E+00;-1,24E+00;0,76;
276;-4,00E-02;1,16E+00;-1,20E+00;0,76;
278;-7,99E-02;1,20E+00;-1,28E+00;0,76;
280;-7,99E-02;1,20E+00;-1,28E+00;0,76;
282;-4,00E-02;1,16E+00;-1,20E+00;0,76;
284;-7,99E-02;1,12E+00;-1,20E+00;0,76;
286;-4,00E-02;1,20E+00;-1,24E+00;0,76;
288;-4,00E-02;1,16E+00;-1,20E+00;0,76;
290;-7,99E-02;1,20E+00;-1,28E+00;0,76;
292;-4,00E-02;1,16E+00;-1,20E+00;0,76;
294;-4,00E-02;1,20E+00;-1,24E+00;0,76;
296;-4,00E-02;1,16E+00;-1,20E+00;0,76;
298;-4,00E-02;1,20E+00;-1,24E+00;0,76;
300;-4,00E-02;1,20E+00;-1,24E+00;0,76;
